"Continent","Mean_Oceania","Mean_Continent","Comparison"
"Asia",10.7415,9.55151351351351,"Greater"
"Asia",0.943,0.787891891891892,"Greater"
"Asia",70.7,65.5272432432432,"Greater"
"Asia",0.8885,0.792837837837838,"Greater"
"Asia",0.3835,0.727621621621622,"Less"
"Asia",7.109,5.29305405405405,"Greater"
"Europe",10.7415,10.453625,"Greater"
"Europe",0.943,0.896975,"Greater"
"Europe",70.7,69.5305,"Greater"
"Europe",0.8885,0.832625,"Greater"
"Europe",0.3835,0.66895,"Less"
"Europe",7.109,6.454,"Greater"
"North America",10.7415,9.66927272727273,"Greater"
"North America",0.943,0.845454545454545,"Greater"
"North America",70.7,66.4735454545455,"Greater"
"North America",0.8885,0.858727272727273,"Greater"
"North America",0.3835,0.725454545454545,"Less"
"North America",7.109,6.26227272727273,"Greater"
"South America",10.7415,9.197,"Greater"
"South America",0.943,0.8511,"Greater"
"South America",70.7,67.2498,"Greater"
"South America",0.8885,0.8129,"Greater"
"South America",0.3835,0.8009,"Less"
"South America",7.109,5.8325,"Greater"
"Africa",10.7415,8.19610810810811,"Greater"
"Africa",0.943,0.668783783783784,"Greater"
"Africa",70.7,57.8814594594595,"Greater"
"Africa",0.8885,0.699486486486486,"Greater"
"Africa",0.3835,0.78227027027027,"Less"
"Africa",7.109,4.41948648648649,"Greater"
